ENS	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000186193	1706.851938	-0.621536492	0.165486245	-3.755819658	0.000172775	0.007210224
ENSG00000166794	425.4533046	0.881629923	0.23552852	3.743198158	0.000181693	0.007518433
ENSG00000111786	1152.367153	0.670649253	0.179250524	3.741407497	0.000182993	0.007539292
ENSG00000060138	3438.079858	0.513526206	0.137456358	3.735921805	0.000187029	0.007672228
ENSG00000105612	367.2701685	0.823665448	0.220752468	3.731172092	0.000190591	0.007784655
ENSG00000147804	1309.793167	0.677897628	0.182612771	3.712213686	0.000205454	0.008355734
ENSG00000198804	6464.315007	0.543189333	0.146427099	3.709622987	0.000207568	0.008405621
ENSG00000178952	6291.135737	-0.52429143	0.141506029	-3.705081924	0.000211322	0.008521239
ENSG00000005007	585.1682023	-0.663677274	0.179203012	-3.703493978	0.00021265	0.008538447
ENSG00000128274	68.39620131	1.043660003	0.28244611	3.695076563	0.000219821	0.008774171
ENSG00000153187	7113.818411	-0.51394698	0.139113674	-3.694438991	0.000220373	0.008774171
ENSG00000106682	1008.054948	-0.668012802	0.181230082	-3.685992943	0.000227813	0.009032439
ENSG00000126457	3189.118232	0.622974164	0.169073009	3.684645869	0.000229021	0.009042506
ENSG00000123416	61266.63953	-0.617172145	0.167574516	-3.682971364	0.000230531	0.009064367
ENSG00000160886	357.3908645	-0.723961903	0.196652103	-3.681434837	0.000231925	0.009081496
ENSG00000198899	33897.22308	0.502250399	0.136471847	3.680249141	0.000233006	0.009086282
ENSG00000145555	1143.304345	-0.673156045	0.183514232	-3.668140815	0.000244321	0.009488452
ENSG00000060982	1357.014396	0.553196992	0.150874052	3.666614534	0.000245783	0.009506279
ENSG00000133321	61.57930055	1.051846585	0.28742369	3.659568162	0.000252641	0.0097318
ENSG00000136436	565.9661983	0.647932267	0.177165338	3.65721802	0.000254968	0.009781668
ENSG00000122966	265.6906925	-0.779616481	0.213342662	-3.654292467	0.000257892	0.009853976
ENSG00000148396	860.2827815	-0.655125478	0.179867812	-3.642260782	0.000270254	0.01028485
ENSG00000188986	992.6574247	-0.613986516	0.168800943	-3.637340559	0.000275468	0.010441324
ENSG00000167118	799.1873035	-0.650340901	0.179191378	-3.629309118	0.000284181	0.010728674
ENSG00000102898	1430.356849	0.600418227	0.165624041	3.625187642	0.000288752	0.010831584
ENSG00000166710	12052.56173	0.483231772	0.133312922	3.624793183	0.000289193	0.010831584
ENSG00000008256	234.9454644	0.794873081	0.219799459	3.616355945	0.000298779	0.011064975
ENSG00000143013	603.3090154	0.679012609	0.187768198	3.616227973	0.000298927	0.011064975
ENSG00000168612	219.2397808	-0.806137683	0.222887353	-3.616794192	0.000298274	0.011064975
ENSG00000132128	496.3689966	0.670683381	0.185984297	3.606129071	0.000310799	0.01145964
ENSG00000152952	118.1244313	0.974231804	0.270461095	3.602114397	0.000315639	0.011593019
ENSG00000106615	586.8091039	0.725898307	0.201623449	3.600267283	0.00031789	0.01163061
ENSG00000197961	726.4958751	-0.640413016	0.177982989	-3.598169805	0.000320464	0.011679694
ENSG00000107554	70.15794568	-1.013670271	0.282503766	-3.588165521	0.000333013	0.011998593
ENSG00000150593	146.189721	0.88789395	0.247449737	3.588178998	0.000332996	0.011998593
ENSG00000184117	359.6343944	0.70754356	0.197104862	3.589680901	0.000331083	0.011998593
ENSG00000100664	3014.729203	-0.513263215	0.143622257	-3.573702464	0.000351969	0.012633549
ENSG00000163584	2247.543573	-0.519603348	0.1454588	-3.572168543	0.000354037	0.012659844
ENSG00000168438	185.7391226	0.832710824	0.233764948	3.562171443	0.0003678	0.013066329
ENSG00000184792	104.1110159	-0.947511049	0.266011862	-3.561912772	0.000368163	0.013066329
ENSG00000160789	2210.090409	-0.564666447	0.159010213	-3.551133212	0.000383576	0.013562568
ENSG00000137310	663.1098155	-0.633443675	0.178440667	-3.54988404	0.000385401	0.013576426
ENSG00000185722	547.1866466	-0.702593535	0.198056239	-3.547444601	0.000388988	0.013652022
ENSG00000108424	11856.72977	-0.460061395	0.12992744	-3.540910163	0.000398749	0.013843892
ENSG00000157601	51.8161256	1.0192143	0.287872813	3.540502097	0.000399366	0.013843892
ENSG00000187134	148.1157578	0.879884732	0.248509276	3.540651465	0.00039914	0.013843892
ENSG00000221968	349.4384336	0.711037498	0.200864457	3.539887084	0.000400298	0.013843892
ENSG00000136238	7221.750493	-0.486010045	0.137522489	-3.534040483	0.000409258	0.014051205
ENSG00000148606	471.8470666	-0.673990608	0.190688572	-3.534509709	0.000408532	0.014051205
ENSG00000125454	261.9353165	-0.766697827	0.217022902	-3.53279686	0.000411188	0.014066499
ENSG00000158195	1446.769349	-0.553709882	0.156781718	-3.531724808	0.000412859	0.01407284
ENSG00000163814	1168.171892	-0.681979871	0.193309715	-3.527913076	0.00041885	0.014225876
ENSG00000116406	102.11468	0.939678415	0.266579849	3.524941666	0.000423576	0.014297878
ENSG00000178127	251.8586923	0.826915434	0.234606932	3.524684578	0.000423987	0.014297878
ENSG00000113552	1225.170475	0.576743215	0.163681511	3.523569724	0.000425775	0.01430725
ENSG00000110619	719.9631859	0.605343577	0.171976441	3.519921519	0.000431675	0.014454232
ENSG00000170043	534.1091437	0.724014715	0.205953108	3.515434755	0.000439035	0.014597516
ENSG00000204351	326.9321605	-0.712990957	0.202798	-3.515769167	0.000438482	0.014597516
ENSG00000103257	2677.158696	0.521510851	0.148456915	3.512876779	0.000443283	0.014687237
ENSG00000171824	500.3368789	-0.680571875	0.193857613	-3.510679129	0.000446964	0.014757584
ENSG00000089127	86.52797158	0.959476559	0.274035601	3.501284345	0.000463022	0.015234695
ENSG00000116560	5195.890177	-0.542623475	0.155824984	-3.482262353	0.000497196	0.016302534
ENSG00000131153	1092.100515	-0.544790211	0.156550334	-3.479968369	0.000501473	0.016386062
ENSG00000186081	24710.8264	0.544347563	0.156466228	3.479009946	0.00050327	0.016388267
ENSG00000188158	195.5756302	-0.853296534	0.245354404	-3.477812178	0.000505524	0.016405293
ENSG00000110921	207.4240541	0.812871519	0.23388508	3.47551677	0.00050987	0.016433773
ENSG00000240065	310.1669176	0.736651914	0.211948397	3.475619182	0.000509675	0.016433773
ENSG00000065833	390.0340044	0.690590277	0.199070923	3.469066535	0.00052227	0.016611847
ENSG00000132382	629.9219479	-0.621660412	0.179204706	-3.468996029	0.000522407	0.016611847
